(def_instance Adelphi
   (state ny)
   (location urban)
   (control private)
   (no_of_students thous:5_10)
   (male:female ratio:30:70)
   (student:faculty ratio:15:1)
   (sat verbal 500)
   (sat math 475)
   (expenses thous$:7_10)
   (percent_financial_aid 60)
   (no_applicants thous:4_7)
   (percent_admittance 70)
   (percent_enrolled 40)
   (academics scale:1_5 2)
   (social scale:1_5 2)
   (quality_of_life scale:1_5 2)
   (academic_emphasis business_administration)
   (academic_emphasis biology))
(def_instance Arizona_state
   (location urban)
   (state arizona)
   (control state)
   (no_of_students thous:20+)
   (male:female ratio:50:50)
   (student:faculty ratio:20:1)
   (sat verbal 450)
   (sat math 500)
   (expenses thous$:4_7)
   (percent_financial_aid 50)
   (no_applicants thous:17+)
   (percent_admittance 80)
   (percent_enrolled 60)
   (academics scale:1_5 3)
   (social scale:1_5 4)
   (quality_of_life scale:1_5 5)
   (academic_emphasis business_education)
   (academic_emphasis engineering)
   (academic_emphasis accounting)
   (academic_emphasis fine_arts))
(def_instance Boston_College
   (state massachusetts)
   (location suburban)
   (control private:roman_catholic)
   (no_of_students thous:5_10)
   (male:female ratio:40:60)
   (student:faculty ratio:20:1)
   (sat verbal 500)
   (sat math 550)
   (expenses thous$:10+)
   (percent_financial_aid 60)
   (no_applicants thous:10_13)
   (percent_admittance 50)
   (percent_enrolled 40)
   (academics scale:1_5 4)
   (social scale:1_5 5)
   (quality_of_life scale:1_5 3)
   (academic_emphasis economics)
   (academic_emphasis biology)
   (academic_emphasis english))
(def_instance Boston_University
   (state massachusetts)
   (location urban)
   (control private)
   (no_of_students thous:10_15)
   (male:female ratio:45:55)
   (student:faculty ratio:12:1)
   (sat verbal 550)
   (sat math 575)
   (expenses thous$:10+)
   (percent_financial_aid 60)
   (no_applicants thous:13_17)
   (percent_admittance 60)
   (percent_enrolled 40)
   (academics scale:1_5 4)
   (social scale:1_5 4)
   (quality_of_life scale:1_5 3)
   (academic_emphasis business_administration)
   (academic_emphasis psychology)
   (academic_emphasis liberal_arts))
(def_instance Brown
   (state rhodeisland)
   (location urban)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:50:50)
   (student:faculty ratio:11:1)
   (sat verbal 625)
   (sat math 650)
   (expenses thous$:10+)
   (percent_financial_aid 40)
   (no_applicants thous:10_13)
   (percent_admittance 20)
   (percent_enrolled 50)
   (academics scale:1_5 5)
   (social scale:1_5 4)
   (quality_of_life scale:1_5 5)
   (academic_emphasis biology)
   (academic_emphasis history)
   (academic_emphasis arts:sciences))
(def_instance CalTech
   (state california)
   (location suburban)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:70:30)
   (student:faculty ratio:10:1)
   (sat verbal 650)
   (sat math 780)
   (expenses thous$:10+)
   (percent_financial_aid 70)
   (no_applicants thous:4_)
   (percent_admittance 15)
   (percent_enrolled 90)
   (academics scale:1_5 5)
   (social scale:1_5 1)
   (quality_of_life scale:1_5 3)
   (academic_emphasis engineering))
(def_instance Carnegie_Mellon
   (state Pennsylvania)
   (location urban)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:60:40)
   (student:faculty ratio:10:1)
   (sat verbal 600)
   (sat math 650)
   (expenses thous$:10+)
   (percent_financial_aid 70)
   (no_applicants thous:4_7)
   (percent_admittance 40)
   (percent_enrolled 50)
   (academics scale:1_5 4)
   (social scale:1_5 3)
   (quality_of_life scale:1_5 3)
   (academic_emphasis engineering))
(def_instance Case_Western
   (state ohio)
   (location urban)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:70:30)
   (student:faculty ratio:9:1)
   (sat verbal 550)
   (sat math 650)
   (expenses thous$:10+)
   (percent_financial_aid 65)
   (no_applicants thous:4_)
   (percent_admittance 85)
   (percent_enrolled 35)
   (academics scale:1_5 3)
   (social scale:1_5 2)
   (quality_of_life scale:1_5 3)
   (academic_emphasis engineering)
   (academic_emphasis management)
   (academic_emphasis arts:sciences))
(def_instance CCNY_City_College
   (state ny)
   (location urban)
   (control state)
   (no_of_students thous:10_15)
   (male:female ratio:60:40)
   (student:faculty ratio:15:1)
   (expenses thous$:4_)
   (percent_financial_aid 80)
   (no_applicants thous:4_)
   (percent_admittance 80)
   (percent_enrolled 60)
   (academics scale:1_5 3)
   (social scale:1_5 2)
   (quality_of_life scale:1_5 2)
   (academic_emphasis arts:sciences)
   (academic_emphasis electrical_engineering)
   (academic_emphasis architecture)
   (academic_emphasis biomed)
   (academic_emphasis education)
   (academic_emphasis nursing)
   (academic_emphasis performing_arts))
(def_instance Colgate
   (state ny)
   (location small_town)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:55:45)
   (student:faculty ratio:13:1)
   (expenses thous$:10+)
   (percent_financial_aid 60)
   (no_applicants thous:4_7)
   (percent_admittance 40)
   (percent_enrolled 40)
   (academics scale:1_5 4)
   (social scale:1_5 3)
   (quality_of_life scale:1_5 3)
   (academic_emphasis liberal_arts)
   (academic_emphasis biology)
   (academic_emphasis english))
(def_instance Columbia
   (state ny)
   (location urban)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:70:30)
   (student:faculty ratio:9:1)
   (sat verbal 625)
   (sat math 650)
   (expenses thous$:10+)
   (percent_financial_aid 60)
   (no_applicants thous:4_7)
   (percent_admittance 6.8)
   (percent_enrolled 50)
   (academics scale:1_5 5)
   (social scale:1_5 3)
   (quality_of_life scale:1_5 3)
   (academic_emphasis liberal_arts))
(def_instance Cooper_Union
   (state ny)
   (location urban)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:70:30)
   (student:faculty ratio:6:1)
   (expenses thous$:4_)
   (percent_financial_aid 35)
   (no_applicants thous:4_)
   (percent_admittance 20)
   (percent_enrolled 65)
   (academics scale:1_5 3)
   (social scale:1_5 1)
   (quality_of_life scale:1_5 3)
   (academic_emphasis engineering)
   (academic_emphasis architecture)
   (academic_emphasis fine_arts))
(def_instance Cornell
   (state ny)
   (location small_city)
   (control private)
   (no_of_students thous:10_15)
   (male:female ratio:55:45)
   (student:faculty ratio:7:1)
   (sat verbal 600)
   (sat math 650)
   (expenses thous$:10+)
   (percent_financial_aid 50)
   (no_applicants thous:17+)
   (percent_admittance 30)
   (percent_enrolled 50)
   (academics scale:1_5 5)
   (social scale:1_5 3)
   (quality_of_life scale:1_5 2)
   (academic_emphasis agriculture)
   (academic_emphasis architecture)
   (academic_emphasis arts:sciences)
   (academic_emphasis engineering)
   (academic_emphasis hotel_administration)
   (academic_emphasis human_ecology)
   (academic_emphasis industrial:labor_relations))
(def_instance Dartmouth
   (state newhampshire)
   (location small_town)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:60:40)
   (student:faculty ratio:7:1)
   (sat verbal 625)
   (sat math 650)
   (expenses thous$:10+)
   (percent_financial_aid 40)
   (no_applicants thous:7_10)
   (percent_admittance 20)
   (percent_enrolled 60)
   (academics scale:1_5 5)
   (social scale:1_5 5)
   (quality_of_life scale:1_5 3)
   (academic_emphasis liberal_arts))
(def_instance FloridaTech
   (state florida)
   (location small_city)
   (control private)
   (no_of_students thous:5_)
   (male:female ratio:80:20)
   (student:faculty ratio:20:1)
   (sat verbal 500)
   (sat math 550)
   (expenses thous$:4_7)
   (percent_financial_aid 60)
   (no_applicants thous:4_)
   (percent_admittance 60)
   (percent_enrolled 50)
   (academics scale:1_5 3)
   (social scale:1_5 3)
   (quality_of_life scale:1_5 3)
   (academic_emphasis marine_biology)
   (academic_emphasis applied_technology)
   (academic_emphasis engineering))
(def_instance Floridastate
   (state florida)
   (location small_city)
   (control state)
   (no_of_students thous:15_20)
   (male:female ratio:45:55)
   (student:faculty ratio:20:1)
   (sat verbal 500)
   (sat math 525)
   (expenses thous$:4_7)
   (percent_financial_aid 40)
   (no_applicants thous:7_10)
   (percent_admittance 60)
   (percent_enrolled 50)
   (academics scale:1_5 3)
   (social scale:1_5 3)
   (quality_of_life scale:1_5 3))
(def_instance GeorgiaTech
   (state georgia)
   (location urban)
   (control state)
   (no_of_students thous:5_10)
   (male:female ratio:80:20)
   (student:faculty ratio:20:1)
   (sat verbal 525)
   (sat math 625)
   (expenses thous$:4_7)
   (percent_financial_aid 20)
   (no_applicants thous:4_7)
   (percent_admittance 25.8)
   (percent_enrolled 50)
   (academics scale:1_5 4)
   (social scale:1_5 2)
   (quality_of_life scale:1_5 2)
   (academic_emphasis engineering))
(def_instance Harvard
   (state massachusetts)
   (location urban)
   (control private)
   (no_of_students thous:5_10)
   (male:female ratio:65:35)
   (student:faculty ratio:10:1)
